"year","month_no","month_tr","month_en","date","gender","pop_15_plus","labor_force","employment","unemployment","not_in_labor_force","lfp_rate","emp_rate","unemp_rate"
2005,1,"Ocak","January",2005-01-01,"Total",47938,20277,18128,2150,27661,42.3,37.8,10.6
2005,2,"Şubat","February",2005-02-01,"Total",48015,19912,17846,2066,28103,41.5,37.2,10.4
2005,3,"Mart","March",2005-03-01,"Total",48086,20662,18591,2070,27424,43,38.7,10
2005,4,"Nisan","April",2005-04-01,"Total",48163,21242,19258,1983,26922,44.1,40,9.3
2005,5,"Mayıs","May",2005-05-01,"Total",48239,21660,19838,1822,26579,44.9,41.1,8.4
2005,6,"Haziran","June",2005-06-01,"Total",48317,21948,20169,1779,26369,45.4,41.7,8.1
2005,7,"Temmuz","July",2005-07-01,"Total",48392,21878,19954,1924,26514,45.2,41.2,8.8
2005,8,"Ağustos","August",2005-08-01,"Total",48470,22009,20193,1816,26461,45.4,41.7,8.2
2005,9,"Eylül","September",2005-09-01,"Total",48548,21923,20076,1847,26625,45.2,41.4,8.4
2005,10,"Ekim","October",2005-10-01,"Total",48623,21595,19555,2040,27028,44.4,40.2,9.4
2005,11,"Kasım","November",2005-11-01,"Total",48701,21528,19559,1969,27173,44.2,40.2,9.1
2005,12,"Aralık","December",2005-12-01,"Total",48776,21219,19113,2106,27558,43.5,39.2,9.9
2006,1,"Ocak","January",2006-01-01,"Total",48854,20347,18061,2286,28507,41.6,37,11.2
2006,2,"Şubat","February",2006-02-01,"Total",48933,20300,18144,2156,28633,41.5,37.1,10.6
2006,3,"Mart","March",2006-03-01,"Total",49003,20784,18704,2080,28219,42.4,38.2,10
2006,4,"Nisan","April",2006-04-01,"Total",49081,21374,19529,1845,27707,43.5,39.8,8.6
2006,5,"Mayıs","May",2006-05-01,"Total",49157,21969,20299,1670,27188,44.7,41.3,7.6
2006,6,"Haziran","June",2006-06-01,"Total",49235,22148,20607,1541,27087,45,41.9,7
2006,7,"Temmuz","July",2006-07-01,"Total",49311,22322,20368,1954,26989,45.3,41.3,8.8
2006,8,"Ağustos","August",2006-08-01,"Total",49389,22329,20550,1779,27060,45.2,41.6,8
2006,9,"Eylül","September",2006-09-01,"Total",49467,22318,20534,1784,27149,45.1,41.5,8
2006,10,"Ekim","October",2006-10-01,"Total",49543,21848,19968,1881,27695,44.1,40.3,8.6
2006,11,"Kasım","November",2006-11-01,"Total",49621,21820,20089,1731,27801,44,40.5,7.9
2006,12,"Aralık","December",2006-12-01,"Total",49697,21663,19750,1913,28033,43.6,39.7,8.8
2007,1,"Ocak","January",2007-01-01,"Total",49773,20965,18761,2205,28808,42.1,37.7,10.5
2007,2,"Şubat","February",2007-02-01,"Total",49848,20954,18965,1989,28894,42,38,9.5
2007,3,"Mart","March",2007-03-01,"Total",49916,21343,19337,2006,28573,42.8,38.7,9.4
2007,4,"Nisan","April",2007-04-01,"Total",49991,21901,19889,2012,28090,43.8,39.8,9.2
2007,5,"Mayıs","May",2007-05-01,"Total",50064,22403,20701,1702,27661,44.7,41.3,7.6
2007,6,"Haziran","June",2007-06-01,"Total",50139,22649,20962,1687,27490,45.2,41.8,7.4
2007,7,"Temmuz","July",2007-07-01,"Total",50212,22743,20727,2016,27469,45.3,41.3,8.9
2007,8,"Ağustos","August",2007-08-01,"Total",50287,22645,20861,1784,27642,45,41.5,7.9
2007,9,"Eylül","September",2007-09-01,"Total",50362,22502,20573,1929,27860,44.7,40.8,8.6
2007,10,"Ekim","October",2007-10-01,"Total",50435,22120,20064,2056,28315,43.9,39.8,9.3
2007,11,"Kasım","November",2007-11-01,"Total",50510,21752,19780,1973,28757,43.1,39.2,9.1
2007,12,"Aralık","December",2007-12-01,"Total",50583,21471,19392,2079,29111,42.4,38.3,9.7
2008,1,"Ocak","January",2008-01-01,"Total",50651,21382,19076,2306,29269,42.2,37.7,10.8
2008,2,"Şubat","February",2008-02-01,"Total",50712,21179,18918,2261,29533,41.8,37.3,10.7
2008,3,"Mart","March",2008-03-01,"Total",50769,21857,19584,2274,28912,43.1,38.6,10.4
2008,4,"Nisan","April",2008-04-01,"Total",50831,22518,20587,1931,28312,44.3,40.5,8.6
2008,5,"Mayıs","May",2008-05-01,"Total",50890,22742,20948,1793,28148,44.7,41.2,7.9
2008,6,"Haziran","June",2008-06-01,"Total",50951,23378,21406,1971,27573,45.9,42,8.4
2008,7,"Temmuz","July",2008-07-01,"Total",51010,23615,21503,2112,27395,46.3,42.2,8.9
2008,8,"Ağustos","August",2008-08-01,"Total",51071,23138,21045,2092,27934,45.3,41.2,9
2008,9,"Eylül","September",2008-09-01,"Total",51133,23241,21017,2224,27892,45.5,41.1,9.6
2008,10,"Ekim","October",2008-10-01,"Total",51192,23225,20848,2377,27967,45.4,40.7,10.2
2008,11,"Kasım","November",2008-11-01,"Total",51253,22569,20154,2415,28684,44,39.3,10.7
2008,12,"Aralık","December",2008-12-01,"Total",51312,22691,19705,2986,28622,44.2,38.4,13.2
2009,1,"Ocak","January",2009-01-01,"Total",51393,22511,19346,3165,28882,43.8,37.6,14.1
2009,2,"Şubat","February",2009-02-01,"Total",51466,22164,18833,3331,29302,43.1,36.6,15
2009,3,"Mart","March",2009-03-01,"Total",51542,22827,19475,3352,28715,44.3,37.8,14.7
2009,4,"Nisan","April",2009-04-01,"Total",51626,23294,20180,3114,28332,45.1,39.1,13.4
2009,5,"Mayıs","May",2009-05-01,"Total",51707,23503,20540,2963,28204,45.5,39.7,12.6
2009,6,"Haziran","June",2009-06-01,"Total",51791,24180,21309,2871,27611,46.7,41.1,11.9
2009,7,"Temmuz","July",2009-07-01,"Total",51872,24428,21486,2942,27443,47.1,41.4,12
